STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN,TOBS
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120101,-9999,61,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120102,-9999,58,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120103,-9999,59,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120104,-9999,66,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120105,-9999,63,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120106,-9999,57,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120107,-9999,66,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120108,-9999,65,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120109,-9999,63,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120110,-9999,62,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120111,-9999,64,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120112,-9999,65,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120113,-9999,65,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120114,-9999,62,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120115,-9999,51,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120116,-9999,50,41,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120117,-9999,50,40,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120118,-9999,53,41,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120119,-9999,50,44,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120120,-9999,59,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120121,-9999,58,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120122,-9999,53,45,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120123,-9999,56,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120124,-9999,58,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120125,-9999,62,51,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120126,-9999,56,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120127,-9999,65,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120128,-9999,64,46,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120129,-9999,62,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120130,-9999,59,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120131,-9999,57,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120201,-9999,59,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120202,-9999,66,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120203,-9999,60,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120204,-9999,64,47,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120205,-9999,66,48,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120206,-9999,62,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120207,-9999,58,52,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120208,-9999,63,49,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120209,-9999,67,50,-9999
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20120210,-9999,62,49,-9999
